train_loss,train_acc,epoch,step
2.800123453140259,0.0625,0,49
3.403496026992798,0.09375,1,99
3.3494372367858887,0.09375,2,149
3.2136290073394775,0.0625,2,199
2.631175994873047,0.0625,3,249
2.8263189792633057,0.03125,4,299
3.451901912689209,0.0,4,349
3.189013719558716,0.0625,5,399
2.855853319168091,0.125,6,449
2.6044013500213623,0.0625,6,499
3.241995334625244,0.0625,7,549
2.5053982734680176,0.125,8,599
3.186965227127075,0.125,9,649
2.842127799987793,0.03125,9,699
3.12111234664917,0.0625,10,749
2.8864240646362305,0.125,11,799
2.9605815410614014,0.09375,11,849
2.993856430053711,0.03125,12,899
3.1690773963928223,0.1875,13,949
2.865302562713623,0.09375,13,999
2.7524471282958984,0.125,14,1049
2.6092395782470703,0.15625,15,1099
2.953374147415161,0.0625,15,1149
2.56101131439209,0.03125,16,1199
2.8742737770080566,0.03125,17,1249
3.2735676765441895,0.09375,18,1299
2.609408378601074,0.21875,18,1349
2.8189680576324463,0.0625,19,1399
