train_loss,train_acc,epoch,step
1.1845405101776123,0.75,0,49
0.2510378956794739,0.9375,1,99
0.029707828536629677,1.0,2,149
0.10840844362974167,0.9375,2,199
0.08329462260007858,0.9375,3,249
0.0657137855887413,0.96875,4,299
0.374453604221344,0.84375,4,349
0.13283084332942963,0.96875,5,399
0.04275651276111603,1.0,6,449
0.09420079737901688,0.96875,6,499
0.13786056637763977,0.9375,7,549
0.04913267493247986,0.96875,8,599
0.03749747574329376,1.0,9,649
0.17137552797794342,0.90625,9,699
0.05075777694582939,0.96875,10,749
0.2234707474708557,0.90625,11,799
0.010636878199875355,1.0,11,849
0.23857425153255463,0.90625,12,899
0.051450952887535095,0.96875,13,949
0.013423772528767586,1.0,13,999
0.013473191298544407,1.0,14,1049
0.278075248003006,0.9375,15,1099
0.16726264357566833,0.9375,15,1149
0.0024651719722896814,1.0,16,1199
0.007607383653521538,1.0,17,1249
0.09157052636146545,0.96875,18,1299
0.0011967620812356472,1.0,18,1349
0.22343090176582336,0.90625,19,1399
