train_loss,train_acc,epoch,step
3.4793975353240967,0.09375,0,49
2.7149267196655273,0.1875,1,99
3.175926446914673,0.09375,2,149
3.7801642417907715,0.125,2,199
3.1658380031585693,0.09375,3,249
3.3699190616607666,0.03125,4,299
3.257962226867676,0.03125,4,349
3.8103673458099365,0.0625,5,399
3.025606632232666,0.09375,6,449
3.0457775592803955,0.0,6,499
2.305966854095459,0.1875,7,549
3.4596638679504395,0.0,8,599
3.808415651321411,0.125,9,649
3.2724130153656006,0.15625,9,699
2.5917837619781494,0.125,10,749
3.155937671661377,0.21875,11,799
2.7656545639038086,0.15625,11,849
2.871954917907715,0.1875,12,899
2.5341317653656006,0.09375,13,949
2.940717935562134,0.125,13,999
3.4185471534729004,0.0625,14,1049
2.7967166900634766,0.25,15,1099
3.3827850818634033,0.09375,15,1149
3.0956225395202637,0.0625,16,1199
2.6177656650543213,0.125,17,1249
3.569389820098877,0.0625,18,1299
3.315762519836426,0.0625,18,1349
3.072402000427246,0.09375,19,1399
