train_loss,train_acc,epoch,step
2.347229480743408,0.375,0,49
2.7919411659240723,0.1875,1,99
3.413884401321411,0.0625,2,149
2.937793493270874,0.1875,2,199
2.6248011589050293,0.15625,3,249
3.125307321548462,0.125,4,299
3.281055212020874,0.0625,4,349
2.6519787311553955,0.09375,5,399
3.2077455520629883,0.15625,6,449
2.820507287979126,0.0,6,499
3.381558418273926,0.0625,7,549
3.9782657623291016,0.125,8,599
2.8216898441314697,0.28125,9,649
2.728736162185669,0.03125,9,699
3.9867682456970215,0.09375,10,749
2.8746721744537354,0.21875,11,799
2.951172113418579,0.0625,11,849
3.1088805198669434,0.03125,12,899
3.106534957885742,0.0625,13,949
2.7065181732177734,0.15625,13,999
2.6895699501037598,0.125,14,1049
2.659738779067993,0.125,15,1099
3.2924726009368896,0.09375,15,1149
2.7767457962036133,0.0625,16,1199
3.228593111038208,0.03125,17,1249
3.3270633220672607,0.21875,18,1299
2.9538793563842773,0.09375,18,1349
2.7272350788116455,0.125,19,1399
